name,full_address,college_district,college_pincode,college_url
Keshab Chandra Das Commerce College (KC Das Commerce College),"Rehabari, Guwahati",Guwahati,781008,http://www.kcdccollege.com/
Khagarijan College,"Chotahibargaon, Nagaon",Nagaon,782002,http://www.khagarijancollege.co.in/
Kharupetia College,"Kharupetia, Darrang",Darrang,784115,http://www.kharupetiacollege.org/
Khowang College,"Khowangghat, Dibrugarh",Dibrugarh,785676,http://www.khowangcollege.edu.in/
Lakhimpur Girls' College,"Khelmati, Lakhimpur",Lakhimpur,787031,http://www.lgcollege.org/
Lakhimpur Kendriya Mahavidyalaya,"Charaimoria, Lakhimpur",Lakhimpur,787032,http://lkmahavidyalaya.edu.in/
Lakhimpur Telahi Kamalabaria College,"(LTK College), Azad",Azad,787031,http://www.ltkcollege.ac.in/
Lala Rural College,"Lala, Hailakandi",Hailakandi,788163,http://www.lrcollege.org/
Lalit Chandra Bharali College,"(LCB College), Maligaon",Maligaon,781011,http://lcbcollege.co.in/
Lanka Mahavidyalaya,"Lanka, Nagaon",Nagaon,782446,http://www.lankamahavidyalaya.in/
Lokanayaka Omeo Kumar Das College,"(LOKD College), Dhekiajuli",Dhekiajuli,784110,http://www.lokdcollege.in/
Lumding College,"Lumding, Hojai",Hojai,782447,http://www.lumdingcollege.org/
Madhab Chandra Das College,"(MCD College), Sonaimukh",Sonaimukh,788119,http://www.mcdcollege.org.in/
Madhab Choudhury College,"(MC College), Barpeta",Barpeta,781301,http://www.mccasam.org/
Madhabdev College,"Narayanpur, Dikrong",Dikrong,784164,http://www.madhabdevcollege.org.in/
Madhya Kamrup College,"Chenga, Barpeta",Barpeta,781305,http://www.mkcollege.ac.in/
Mahendra Narayan  Choudhury Balika Mahavidyalaya,"(MNC  Balika Mahavidyalaya), Nalbari",Nalbari,781335,http://mncbm.ac.in/
Majuli College,"Kamalabri, Majuli",Majuli,785106,http://www.majulicollege.org/
Mandia Anchalik College,"Mandia, Barpeta",Barpeta,781308,http://www.macmandia.in/
Mangaldai College,"Mangaldai, Darang",Darang,784125,http://www.mangaldaicollege.org/
Mankachar College,"Mankachar, Dhubri",Dhubri,783131,http://www.mankacharcollege.in/
Manohari Devi Kanoi Girls' College,"(MDKG College), Dibrugarh",Dibrugarh,786001,http://www.mdkgcollege.edu.in/
Margherita College,"Margherita, Tinsukia",Tinsukia,786181,http://www.mrgcollege.co.in/
Mariani College,"Mariani, Jorhat",Jorhat,785634,http://www.marianicollege.org.in/
Moirabari College,"Moirabari, Morigaon",Morigaon,782126,http://www.moirabaricollege.org/
Moran College,"Moranhat, Sivasagar",Sivasagar,785670,http://www.morancollege.ac.in/
Moridhal College,"Moridhal, Dhemaji",Dhemaji,787057,http://www.moridhalcollege.in
Murkong Selek College,"Jonai, Dhemaji",Dhemaji,787060,http://www.murkongselek.org.in/
Nabin Chandra College,"Badarpur, Karimganj",Karimganj,788806,http://www.nccollege.ac.in/
Nagaon Gopinath Dev Goswami Commerce College (Nagaon GNDG Commerce College),"Panigaon, Nagaon",Nagaon,782001,http://www.gndgccollege.org/
Naharkatiya College,"Naharkatiya, Dibrugarh",Dibrugarh,786610,http://naharkatiyacollege.edu.in/
Nalbari College,"College Road, Nalbari",Nalbari,781335,http://www.nalbaricollege.org.in/
Nalbari Commerce College,"Japarkuchi, Chowkbazar",Chowkbazar,781334,http://www.nalbaricommercecollege.ac.in/
Namrup College,"Parbatpur, Dibrugarh",Dibrugarh,786623,http://namrupcollege.edu.in/
Nanda Nath Saikia College,"Dhodar Ali, Titabar",Titabar,785630,http://www.nnsaikiacollege.org/
Nazira College,"Boarding Road, Nazira",Nazira,785685,http://www.naziracollege.com/
Nehru College,"Pailapool, Cachar",Cachar,788098,http://www.nehrucollege.org.in/
Nirmal Haloi College,"Patacharkuchi, Barpeta",Barpeta,781326,http://www.nirmalhaloicollege.in/
North Bank College,"Ghilamara, Lakhimpur",Lakhimpur,787053,http://www.northbankcollege.com/
North Guwahati College,"College Nagar, North Guwahati",North Guwahati,781031,http://www.northgauhaticollege.org/
North Kamrup College,"Baghmara, Barpeta",Barpeta,781328,http://northkamrupcollege.in/
North Lakhimpur College,"Khelmati, Lakhimpur",Lakhimpur,787031,http://www.nlcollege.org/
Nowgong Girls' College,"Haibargaon, Nagaon",Nagaon,782002,http://www.ngcassam.org/
Pandu College,"Pandu, Guwahati",Guwahati,781012,http://www.panducollege.org/
Panigaon Omprakash Dinodia College,"Panigaon, Lakhimpur",Lakhimpur,787052,http://www.opdcollege.edu.in/
Paschim Guwahati Mahavidyalaya,"Dharapur, Guwahati",Guwahati,781133,http://paschimguwahatimahavidyalaya.in/
Pragjyotish College,"Santipur, Guwahati",Guwahati,781009,http://www.pragjyotishcollege.org.in/
Pramathesh Barua College,"Gauripur, Dhubri",Dhubri,783331,http://www.pbcollege.in/
Pub Kamrup College,"Baihata Chariali, Kamrup",Kamrup,781381,http://www.pubkamrupcollege.org/
Puthimari College,"Soneswar, Kamrup",Kamrup,781382,http://www.puthimaricollege.in/
Rabindra Sadan Girls' College,"Main Road, Karimganj",Karimganj,788710,http://rsgirlscollege.ac.in/
Radha Govinda Baruah College,"(RG Baruah College), Fatasil Ambari",Fatasil Ambari,781025,http://www.rgbaruahcollege.org/
Radha Madhab College,"Sonai Road, Silchar",Silchar,788006,http://www.rmcollege.org/
Raha College,"Raha, Nagaon",Nagaon,782103,http://www.rahacollege.co.in/
Ram Krishna Nagar College,"(RK Nagar College), Ram Krishna Nagar",Ram Krishna Nagar,788166,http://www.rknagarcollege.org/
Rangachahi College,"Rangachahi, Majuli",Majuli,785104,http://www.rangachahicollege.com/
Rangapara College,"Rangapara, Sonitpur",Sonitpur,784505,http://www.rangaparacollege.org/
Rangia College,"Rangia, Kamrup",Kamrup,781354,http://www.rangiacollege.in/
Ratnapith College,"Chapar, Dhubri",Dhubri,783371,http://www.ratnapith.org/
Rupahi College,"Rupahi, Nagaon",Nagaon,782125,http://www.rupahicollege.org/
Sadiya College,"Chapakhowa, Tinsukia",Tinsukia,786157,http://www.sadiyacollege.org.in/
Sankardev Mahavidyalaya,"Pathalipahar, Lakhimpur",Lakhimpur,784163,http://sankaradevamahavidyalaya.edu.in/
Sapatgram College,"Sapatgram, Dhubri",Dhubri,783337,http://sapatgramcollege.org/
Saraighat College,"Changsari, Kamrup",Kamrup,781101,http://saraighatcollegeghy.org/
Sarupathar College,"Sarupathar, Golaghat",Golaghat,785601,http://www.sarupatharcollege.org/
Sibsagar College,"Joysagar, Sivasagar",Sivasagar,785665,http://www.sibsagarcollege.in/
Sibsagar Commerce College,"Borpukhuripar, Sivasagar",Sivasagar,785640,http://sibsagarcommercecollege.org.in/
Silapathar College,"Silapathar, Dhemaji",Dhemaji,787059,http://www.silapatharcollege.edu.in/
Sipajhar College,"Sipajhar, Darrang",Darrang,784145,http://www.sipajharcollege.org/
Sonapur College,"Sonapur, Kamrup (M)",Kamrup (M),782402,http://sonapurcollege.org/
Sonari College,"Sonari, Sivasagar",Sivasagar,785690,http://www.sonaricollege.edu.in/
Srikishan Sarda College,"(SS College), College Road",College Road,788151,http://www.sscollegehkd.ac.in/
Sualkuchi Budram Madhab Satradhikar College,"(SBMS College), Sualkuchi",Sualkuchi,781103,http://www.sbmscollege.org/
Swahid Maniram Devan College,"(SMD College), Charing",Charing,785661,http://smdcollege.org/
Swahid Peoli Phukan College,"Namtidole, Sivasagar",Sivasagar,785684,http://sppcollegenamti.org/
Tangla College,"Chamuapara, Tangla",Tangla,784521,http://www.tanglacollege.org/
Tengakhat College,"Tengakhat, Dibrugarh",Dibrugarh,786103,http://tengakhatcollege.edu.in/
Tezpur College,"Tezpur, Sonitpur",Sonitpur,784001,http://tezpurcollege.com/
Tihu College,"Tihu, Nalbari",Nalbari,781371,http://www.tihucollege.org/
Tingkhong College,"Tingkhong, Dibrugarh",Dibrugarh,786612,http://www.tingkhongcollege.edu.in/
Tinsukia College,"College Road, Tinsukia",Tinsukia,786125,http://tinsukiacollege.com/
Tinsukia Commerce College,"Sripuria, Tinsukia",Tinsukia,786145,http://tinsukiacommercecollege.edu.in/
Tyagbir Hem Baruah College,"(THB College), Karsontala",Karsontala,784189,http://www.thbcollege.in/
Ujani Majuli Kherkatia College,"(UMK College), Ratanpur  Miri",Ratanpur  Miri,785105,http://umkcollege.com/
West Goalpara College,"Ambari, Balarbhita",Balarbhita,783124,http://www.westgoalparacollege.in/
Women's College Silchar,"Shyama Prasad Road, Silchar",Silchar,788001,http://www.womenscollege-silchar.org.in/
Women's College Tinsukia,"Rangagora Road, Tinsukia",Tinsukia,786125,http://www.wimcol.org/
